Document Title,Authors,Publication Title,Publication Year,Volume,Issue,Start Page,End Page,ISBNs,DOI,Author Keywords,Publisher
Statistical-QoS Guarantee for IoT Network Driven by Laser-Powered UAV Relay and RF Backscatter Communications,M. Z. Hassan; M. J. Hossain; J. Cheng; V. C. M. Leung,IEEE Transactions on Green Communications and Networking,2021,5,1,406,425,,10.1109/TGCN.2020.3025951,Internet-of-Things;energy harvesting;statistical quality-of-service;unmanned air vehicle,IEEE
Integrated Content and Network-Based Service Clustering and Web APIs Recommendation for Mashup Development,B. Cao; X. F. Liu; M. M. Rahman; B. Li; J. Liu; M. Tang,IEEE Transactions on Services Computing,2020,13,1,99,113,,10.1109/TSC.2017.2686390,Service content;service network;two-level topic model;random walk;web APIs recommendation,IEEE
Location-Aware Deep Collaborative Filtering for Service Recommendation,Y. Zhang; C. Yin; Q. Wu; Q. He; H. Zhu,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",2021,51,6,3796,3807,,10.1109/TSMC.2019.2931723,Collaborative filtering (CF);deep learning;service recommendation;similarity adaptive corrector (AC),IEEE
Unsupervised 3D End-to-End Medical Image Registration With Volume Tweening Network,S. Zhao; T. Lau; J. Luo; E. I. -C. Chang; Y. Xu,IEEE Journal of Biomedical and Health Informatics,2020,24,5,1394,1404,,10.1109/JBHI.2019.2951024,Registration;unsupervised;convolutional neural networks;end-to-end;medical image,IEEE
Human-Behavior and QoE-Aware Dynamic Channel Allocation for 5G Networks: A Latent Contextual Bandit Learning Approach,P. Zhou; J. Xu; W. Wang; C. Jiang; K. Wang; J. Hu,IEEE Transactions on Cognitive Communications and Networking,2020,6,2,436,451,,10.1109/TCCN.2020.2969631,Human behavior;QoE;5G;contextual bandits;channel allocation;user mobility;online learning,IEEE
HCE: Hierarchical Context Embedding for Region-Based Object Detection,Z. -M. Chen; X. Jin; B. -R. Zhao; X. Zhang; Y. Guo,IEEE Transactions on Image Processing,2021,30,,6917,6929,,10.1109/TIP.2021.3099733,Object detection;context embedding;region-based CNNs,IEEE
Pixel-Level Remote Sensing Image Recognition Based on Bidirectional Word Vectors,H. You; S. Tian; L. Yu; Y. Lv,IEEE Transactions on Geoscience and Remote Sensing,2020,58,2,1281,1293,,10.1109/TGRS.2019.2945591,Attention mechanism;bidirectional independent recurrent neural network (BiIndRNN);bidirectional word vector;graph convolutional networks (GCNs);parallel joint algorithm;sliced recurrent neural network (SRNN),IEEE
Privacy-Preserving and Trustworthy Device-to-Device (D2D) Offloading Scheme,H. Baek; H. Ko; S. Pack,IEEE Access,2020,8,,191551,191560,,10.1109/ACCESS.2020.3032735,Blockchain;device-to-device (D2D);offloading;privacy;static game,IEEE
Graph Regularized Flow Attention Network for Video Animal Counting From Drones,P. Zhu; T. Peng; D. Du; H. Yu; L. Zhang; Q. Hu,IEEE Transactions on Image Processing,2021,30,,5339,5351,,10.1109/TIP.2021.3082297,Animal counting;drone;graph regularized flow attention network;multi-granularity loss,IEEE
AUTo<italic>Sen</italic>: Deep-Learning-Based Implicit Continuous Authentication Using Smartphone Sensors,M. Abuhamad; T. Abuhmed; D. Mohaisen; D. Nyang,IEEE Internet of Things Journal,2020,7,6,5008,5020,,10.1109/JIOT.2020.2975779,Active authentication;continuous authentication;deep-learning-based authentication;mobile sensing;smartphone authentication,IEEE
Spatio-Temporal Crime Predictions by Leveraging Artificial Intelligence for Citizens Security in Smart Cities,U. M. Butt; S. Letchmunan; F. H. Hassan; M. Ali; A. Baqir; T. W. Koh; H. H. R. Sherazi,IEEE Access,2021,9,,47516,47529,,10.1109/ACCESS.2021.3068306,Citizen security;smart cities;crime prediction;artificial intelligence;safe city,IEEE
Industrial Applications of Ultrahigh Definition Video Coding With an Optimized Supersample Adaptive Offset Framework,M. Wang; W. Xie; J. Zhang; J. Qin,IEEE Transactions on Industrial Informatics,2020,16,12,7613,7623,,10.1109/TII.2020.2973733,High efficiency video coding (HEVC);in-loop filter;sample adaptive offset (SAO);super-block video coding;ultrahigh definition (UHD),IEEE
Efficient QP-ADMM Decoder for Binary LDPC Codes and Its Performance Analysis,J. Bai; Y. Wang; Q. Shi,IEEE Transactions on Signal Processing,2020,68,,503,518,,10.1109/TSP.2020.2964223,Quadratic programming (QP) decoding;alternating direction method of multipliers (ADMM);low-density parity-check (LDPC) codes;linear complexity,IEEE
SPDS: A Secure and Auditable Private Data Sharing Scheme for Smart Grid Based on Blockchain,Y. Wang; Z. Su; N. Zhang; J. Chen; X. Sun; Z. Ye; Z. Zhou,IEEE Transactions on Industrial Informatics,2021,17,11,7688,7699,,10.1109/TII.2020.3040171,Blockchain;off-chain;private data sharing;smart contract;smart grid;trusted computing,IEEE
Online Nearest Neighbor Search Using Hamming Weight Trees,S. Eghbali; H. Ashtiani; L. Tahvildari,IEEE Transactions on Pattern Analysis and Machine Intelligence,2020,42,7,1729,1740,,10.1109/TPAMI.2019.2902391,Nearest neighbor search;binary codes;sublinear search;tree search;Hamming Weight,IEEE
Stability Analysis of the Observer Error of an In-Domain Actuated Vibrating String,T. Malzer; H. Rams; B. Kolar; M. Schöberl,IEEE Control Systems Letters,2021,5,4,1237,1242,,10.1109/LCSYS.2020.3025414,Distributed parameter systems;stability of linear systems;observers for linear systems,IEEE
A Provably Secure Two-Factor Authentication Scheme for USB Storage Devices,M. F. Ayub; S. Shamshad; K. Mahmood; S. H. Islam; R. M. Parizi; K. -K. R. Choo,IEEE Transactions on Consumer Electronics,2020,66,4,396,405,,10.1109/TCE.2020.3035566,Authentication;hash function;provable security;random oracle model;USB device,IEEE
Adaptive Mode Selection for Backscatter-Assisted Communication Systems With Opportunistic SIC,D. Li; H. Zhang; L. Fan,IEEE Transactions on Vehicular Technology,2020,69,2,2327,2331,,10.1109/TVT.2019.2960381,Backscatter-assisted communication;adaptive mode selection;outage probability,IEEE
Knowledge-Augmented Multimodal Deep Regression Bayesian Networks for Emotion Video Tagging,S. Wang; L. Hao; Q. Ji,IEEE Transactions on Multimedia,2020,22,4,1084,1097,,10.1109/TMM.2019.2934824,Regression Bayesian network;Multi-modal deep network;Domain knowledge;Emotion video tagging,IEEE
Rethinking Behaviors and Activities of Base Stations in Mobile Cellular Networks Based on Big Data Analysis,D. Jiang; L. Huo; H. Song,IEEE Transactions on Network Science and Engineering,2020,7,1,80,90,,10.1109/TNSE.2018.2861388,Network behaviors;cellular networks;big data technologies;call detail records;predictability,IEEE
"Odyssey: Creation, Analysis and Detection of Trojan Models",M. Edraki; N. Karim; N. Rahnavard; A. Mian; M. Shah,IEEE Transactions on Information Forensics and Security,2021,16,,4521,4533,,10.1109/TIFS.2021.3108407,Trojan attack;Trojan model;Trojan detection;Trojan Dataset;model properties,IEEE
Generalized User Grouping in NOMA Based on Overlapping Coalition Formation Game,W. Chen; S. Zhao; R. Zhang; L. Yang,IEEE Journal on Selected Areas in Communications,2021,39,4,969,981,,10.1109/JSAC.2020.3018832,NOMA;overlapping;generalized user grouping;coalition formation;power control,IEEE
Tunneling Trust Into the Blockchain: A Merkle Based Proof System for Structured Documents,F. Bruschi; V. Rana; A. Pagani; D. Sciuto,IEEE Access,2021,9,,103758,103771,,10.1109/ACCESS.2020.3028498,Blockchain;smart contracts;oracles;Merkle trees;Ethereum,IEEE
Privacy Leakage and Protection of InputConnection Interface in Android,C. -Y. Li; H. -Y. Wang; W. -C. Wang; C. -Y. Huang,IEEE Transactions on Network and Service Management,2021,18,3,3309,3323,,10.1109/TNSM.2021.3077010,Android;information leakage;input method framework;mobile privacy;webview,IEEE
Cross-Project Defect Prediction via Landmark Selection-Based Kernelized Discriminant Subspace Alignment,Z. Li; J. Niu; X. -Y. Jing; W. Yu; C. Qi,IEEE Transactions on Reliability,2021,70,3,996,1013,,10.1109/TR.2021.3074660,Cross-project defect prediction (CPDP);discriminant subspace alignment;domain adaptation;kernel projection;landmark selection;source label propagation,IEEE
On Side Channel Vulnerabilities of Bit Permutations in Cryptographic Algorithms,J. Breier; D. Jap; X. Hou; S. Bhasin,IEEE Transactions on Information Forensics and Security,2020,15,,1072,1085,,10.1109/TIFS.2019.2932230,Block ciphers;side-channel attacks;bit permutations;implementation attacks,IEEE
Combining One-vs-One Decomposition and Instance-Based Learning for Multi-Class Classification,J. -Y. Liu; B. -B. Jia,IEEE Access,2020,8,,197499,197507,,10.1109/ACCESS.2020.3034448,Machine learning;multi-class classification;one-vs-one;instance-based learning,IEEE
NK-CDS: A Creative Design System for Museum Art Derivatives,J. Zhang; S. Liu; J. Fan; J. Huang; M. Pei,IEEE Access,2020,8,,29259,29269,,10.1109/ACCESS.2020.2972561,Computer simulation;element processing;element application;museum derivatives design,IEEE
5G New Radio: Dynamic Time Division Duplex Radio Resource Management Approaches,F. S. Samidi; N. A. M. Radzi; W. S. H. M. W. Ahmad; F. Abdullah; M. Z. Jamaludin; A. Ismail,IEEE Access,2021,9,,113850,113865,,10.1109/ACCESS.2021.3104277,5G;resource management;machine learning;wireless communication,IEEE
Performance-Improved Implementation of the SISO Adaptive Predictive Control Algorithm for Embedded Systems,I. D. L. Cruz-Malagón; A. Favela-Contreras; A. Ávila,IEEE Transactions on Industrial Electronics,2020,67,9,8054,8063,,10.1109/TIE.2019.2939973,Adaptive predictive control (APC);embedded systems;single-input single-output (SISO) systems;system on chip (SoC);ZYBO,IEEE
Real-Time Light Field Denoising Using a Novel Linear 4-D Hyperfan Filter,S. U. Premaratne; N. Liyanage; C. U. S. Edussooriya; C. Wijenayake,IEEE Transactions on Circuits and Systems I: Regular Papers,2020,67,8,2693,2706,,10.1109/TCSI.2020.2981387,Light fields;denoising;real-time implementation;sparsity;FPGAs;imaging;camera arrays,IEEE
Reducing Energy of Approximate Feature Extraction in Heterogeneous Architectures for Sensor Inference via Energy-Aware Genetic Programming,Y. Tang; H. Jia; N. Verma,IEEE Transactions on Circuits and Systems I: Regular Papers,2020,67,5,1576,1587,,10.1109/TCSI.2019.2961643,Approximate computing;energy efficiency;feature extraction;genetic programming;Pareto optimization,IEEE
PreVIous: A Methodology for Prediction of Visual Inference Performance on IoT Devices,D. Velasco-Montero; J. Fernández-Berni; R. Carmona-Galán; Á. Rodríguez-Vázquez,IEEE Internet of Things Journal,2020,7,10,9227,9240,,10.1109/JIOT.2020.2981684,Convolutional neural networks (CNNs);deep learning (DL);edge devices;inference performance;neural architecture search (NAS);vision-enabled Internet of Things (IoT),IEEE
Resistive Crossbars as Approximate Hardware Building Blocks for Machine Learning: Opportunities and Challenges,I. Chakraborty; M. Ali; A. Ankit; S. Jain; S. Roy; S. Sridharan; A. Agrawal; A. Raghunathan; K. Roy,Proceedings of the IEEE,2020,108,12,2276,2310,,10.1109/JPROC.2020.3003007,Crossbars;deep neural networks (DNNs);machine learning (ML);nonidealities;nonvolatile memories,IEEE
Blind Deblurring of Barcodes via Kullback-Leibler Divergence,G. Rioux; C. Scarvelis; R. Choksi; T. Hoheisel; P. Maréchal,IEEE Transactions on Pattern Analysis and Machine Intelligence,2021,43,1,77,88,,10.1109/TPAMI.2019.2927311,Blind deblurring;denoising;symbology;QR barcode;UPC barcode;maximum entropy on the mean;Kullback-Leibler divergence;Fenchel-Rockafellar duality;L-BFGS,IEEE
An FPGA-Based Hardware Accelerator for Real-Time Block-Matching and 3D Filtering,D. Wang; J. Xu; K. Xu,IEEE Access,2020,8,,121987,121998,,10.1109/ACCESS.2020.3006773,FPGA;BM3D;systolic array;image denoising,IEEE
Two-Stage Column Block Parallel LU Factorization Algorithm,R. Wu; X. Xie,IEEE Access,2020,8,,2645,2655,,10.1109/ACCESS.2019.2962355,LU factorization;load balancing;nonblocking communication;parallel execution time;scalability,IEEE
TITAN: Uncovering the Paradigm Shift in Security Vulnerability at Near-Threshold Computing,P. Basu; P. Pandey; A. Bal; C. Rajamanikkam; K. Chakraborty; S. Roy,IEEE Transactions on Emerging Topics in Computing,2020,8,4,986,997,,10.1109/TETC.2018.2794070,System-on-chip;fault diagnosis;fault tolerance;computer security,IEEE
ReLOPE: Resistive RAM-Based Linear First-Order Partial Differential Equation Solver,S. S. Ensan; S. Ghosh,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,2021,29,1,237,241,,10.1109/TVLSI.2020.3035769,Crossbar;in-memory computing (IMC);partial differential equation (PDE);RRAM;Runge–Kutta,IEEE
A Combination of Mixed FETD Method and SPICE to Simulate Nonlinear Multiport Circuits,K. Chen; M. Zhuang; J. Liu; M. Yuan; Q. H. Liu,IEEE Microwave and Wireless Components Letters,2021,31,2,97,100,,10.1109/LMWC.2020.3035061,Low-frequency breakdown;mixed finite-element time-domain method (MFETD);nonlinear circuits;SPICE,IEEE
Nonblocking Supervisory Control of State-Tree Structures With Conditional-Preemption Matrices,D. Wang; X. Wang; Z. Li,IEEE Transactions on Industrial Informatics,2020,16,6,3744,3756,,10.1109/TII.2019.2939628,Discrete-event system (DES);optimal supervisor;priority;state-tree structure (STS);symbolic computation,IEEE
Design Analysis and Evaluation of a W-Element Model for a Twisted-Pair Cable,M. Zarei; A. Khalilzadegan; K. Hadidi,IEEE Access,2020,8,,188981,188992,,10.1109/ACCESS.2020.3032065,Twisted pair cable;W-element;transmission line modeling;fluke test;RLGC model,IEEE
Sliding Mode Control Techniques and Artificial Potential Field for Dynamic Collision Avoidance in Rendezvous Maneuvers,M. Mancini; N. Bloise; E. Capello; E. Punta,IEEE Control Systems Letters,2020,4,2,313,318,,10.1109/LCSYS.2019.2926053,Robust control;aerospace;uncertain systems,IEEE
Deep Video Prediction Network-Based Inter-Frame Coding in HEVC,J. Lee; N. Kim; S. Cho; J. Kang,IEEE Access,2020,8,,95906,95917,,10.1109/ACCESS.2020.2993566,Video coding;deep learning;convolutional neural network;video prediction network;inter-prediction;virtual reference frame;HEVC;VVC,IEEE
An Original Educational Algorithm Assessing the Behaviours of Angular Frequency Deviations of a Multimachine System in Small Signal Analysis,R. Benato; N. Crocamo; G. Gardan; G. M. Giannuzzi; C. Pisani; F. Sanniti; R. Zaottini,IEEE Access,2021,9,,18783,18800,,10.1109/ACCESS.2021.3053428,Electromechanical transient;linearized dynamic;power system dynamic;small signal stability,IEEE
ER-TCAM: A Soft-Error-Resilient SRAM-Based Ternary Content-Addressable Memory for FPGAs,I. Ullah; J. Yang; J. Chung,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,2020,28,4,1084,1088,,10.1109/TVLSI.2020.2968365,Field-programmable gate array (FPGA);memory architecture;soft errors;static random access memory (SRAM)-based ternary content-addressable memory (TCAM),IEEE
Experimental Demonstrations of Hybrid OFDM-Digital Filter Multiple Access PONs,W. Jin; Z. Q. Zhong; J. X. He; A. Sankoh; R. P. Giddings; Y. H. Hong; I. Pierce; M. O’Sullivan; C. Laperle; J. Lee; G. Mariani; T. Durrant; J. M. Tang,IEEE Photonics Technology Letters,2020,32,13,751,754,,10.1109/LPT.2020.2995072,Passive optical networks (PONs);digital filtering;intensity modulation and direct detection (IMDD),IEEE
Towards Wave Digital Memcomputing With Physical Memristor Models,K. Ochs; D. Michaelis; E. Solan,IEEE Transactions on Circuits and Systems I: Regular Papers,2020,67,4,1092,1102,,10.1109/TCSI.2019.2953653,Emulation;memristive networks;neuromorphic circuits;self-organization;universal memcomputing machines,IEEE
Towards an All-Wheel Drive Motorcycle: Dynamic Modeling and Simulation,A. Bonci; S. Longhi; G. A. Scala,IEEE Access,2020,8,,112867,112882,,10.1109/ACCESS.2020.3002685,Vehicle dynamics;modeling;simulation;intelligent transportation systems;road vehicles,IEEE
EnsVAE: Ensemble Variational Autoencoders for Recommendations,A. Drif; H. E. Zerrad; H. Cherifi,IEEE Access,2020,8,,188335,188351,,10.1109/ACCESS.2020.3030693,Hybrid recommender systems;neural recommender models;collaborative filtering;content-based filtering;variational autoencoders,IEEE
Channel Estimation in Massive MIMO Under Hardware Non-Linearities: Bayesian Methods Versus Deep Learning,Ö. T. Demir; E. Björnson,IEEE Open Journal of the Communications Society,2020,1,,109,124,,10.1109/OJCOMS.2019.2959913,Deep learning;hardware impairments;uplink spectral efficiency;distortion-aware receiver;channel estimation;Rician fading,IEEE
Learning Discriminative and Generative Shape Embeddings for Three-Dimensional Shape Retrieval,C. Xu; B. Leng; B. Chen; C. Zhang; X. Zhou,IEEE Transactions on Multimedia,2020,22,9,2234,2245,,10.1109/TMM.2019.2957933,3D shape retrieval;feature aggregation;recurrent neural network,IEEE
PE-MIU: A Training-Free Privacy-Enhancing Face Recognition Approach Based on Minimum Information Units,P. Terhörst; K. Riehl; N. Damer; P. Rot; B. Bortolato; F. Kirchbuchner; V. Struc; A. Kuijper,IEEE Access,2020,8,,93635,93647,,10.1109/ACCESS.2020.2994960,Biometrics;face recognition;privacy;soft-biometrics;soft-biometric privacy,IEEE
Inverse Filtering for Hidden Markov Models With Applications to Counter-Adversarial Autonomous Systems,R. Mattila; C. R. Rojas; V. Krishnamurthy; B. Wahlberg,IEEE Transactions on Signal Processing,2020,68,,4987,5002,,10.1109/TSP.2020.3019177,Bayesian filtering;inverse filtering;hidden Markov models;counter-adversarial autonomous systems;unique identifiability;group LASSO;nullspace clustering;adversarial signal processing,IEEE
Scalable Cell-Free Massive MIMO Systems,E. Björnson; L. Sanguinetti,IEEE Transactions on Communications,2020,68,7,4247,4261,,10.1109/TCOMM.2020.2987311,Cell-free massive MIMO;scalable implementation;centralized and distributed algorithms;dynamic cooperation clustering;user-centric networking;uplink-downlink duality,IEEE
SPINBIS: Spintronics-Based Bayesian Inference System With Stochastic Computing,X. Jia; J. Yang; P. Dai; R. Liu; Y. Chen; W. Zhao,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2020,39,4,789,802,,10.1109/TCAD.2019.2897631,Bayesian inference;magnetic tunnel junction (MTJ);spintronics;stochastic computing (SC),IEEE
Toward Smart Wireless Communications via Intelligent Reflecting Surfaces: A Contemporary Survey,S. Gong; X. Lu; D. T. Hoang; D. Niyato; L. Shu; D. I. Kim; Y. -C. Liang,IEEE Communications Surveys & Tutorials,2020,22,4,2283,2314,,10.1109/COMST.2020.3004197,Intelligent reflecting surface;smart radio environment;passive beamforming;IRS-assisted wireless networks,IEEE
A Runtime and Non-Intrusive Approach to Optimize EDP by Tuning Threads and CPU Frequency for OpenMP Applications,J. Schwarzrock; C. C. de Oliveira; M. Ritt; A. F. Lorenzon; A. C. S. Beck,IEEE Transactions on Parallel and Distributed Systems,2021,32,7,1713,1724,,10.1109/TPDS.2020.3046537,Thread throttling;DVFS;OpenMP applications,IEEE
A Siamese CNN for Image Steganalysis,W. You; H. Zhang; X. Zhao,IEEE Transactions on Information Forensics and Security,2021,16,,291,306,,10.1109/TIFS.2020.3013204,Steganalysis;deep learning;Siamese convolutional neural network,IEEE
Fairness and Transmission-Aware Caching and Delivery Policies in OFDMA-Based HetNets,S. Rezvani; N. Mokari; M. R. Javan; E. A. Jorswieck,IEEE Transactions on Mobile Computing,2020,19,2,331,346,,10.1109/TMC.2019.2892978,Transmission-aware caching;delivery policy;fairness;latency;OFDMA;HetNet;5G networks,IEEE
Intelligent Biofeedback Augmented Content Comprehension (TellBack),H. Hijazi; R. Couceiro; J. Castelhano; P. De Carvalho; M. Castelo-Branco; H. Madeira,IEEE Access,2021,9,,28393,28406,,10.1109/ACCESS.2021.3058664,Biomedical measurement;cognitive load;content comprehension;eye-tracking;heart rate variability;machine learning,IEEE
<sc>Sais</sc>: Self-Adaptive Identification of Security Bug Reports,S. Mostafa; B. Findley; N. Meng; X. Wang,IEEE Transactions on Dependable and Secure Computing,2021,18,4,1779,1792,,10.1109/TDSC.2019.2939132,Security bug reports;self learning;bug triaging,IEEE
Sizing of a Battery Pack Based on Series/Parallel Configurations for a High-Power Electric Vehicle as a Constrained Optimization Problem,L. Pelletier; F. -A. LeBel; C. H. Antunes; J. P. F. Trovão,IEEE Transactions on Vehicular Technology,2020,69,12,14150,14159,,10.1109/TVT.2020.3004010,Battery design;constrained optimization problem;constraint satisfaction problem;electric vehicles;multi-objective optimization,IEEE
Next Generation X-in-the-Loop Validation Methodology for Automated Vehicle Systems,Z. Szalay,IEEE Access,2021,9,,35616,35632,,10.1109/ACCESS.2021.3061732,Automotive proving ground;automated vehicle control;autonomous vehicle;co-simulation;digital twin;mixed-reality testing;scenario-based testing;testing and validation;virtual and mixed reality;V-model;X-in-the-loop testing,IEEE
Diffusional Side-Channel Leakage From Unrolled Lightweight Block Ciphers: A Case Study of Power Analysis on PRINCE,V. Yli-Mäyry; R. Ueno; N. Miura; M. Nagata; S. Bhasin; Y. Mathieu; T. Graba; J. -L. Danger; N. Homma,IEEE Transactions on Information Forensics and Security,2021,16,,1351,1364,,10.1109/TIFS.2020.3033441,Low-latency block ciphers;side-channel attacks;unrolled implementation;countermeasures;PRINCE,IEEE
ConvAix: An Application-Specific Instruction-Set Processor for the Efficient Acceleration of CNNs,A. Bytyn; R. Leupers; G. Ascheid,IEEE Open Journal of Circuits and Systems,2021,2,,3,15,,10.1109/OJCAS.2020.3037758,Application-specific instruction-set processor (ASIP);convolutional neural network (CNN);very large instruction word (VLIW);quantization;low-precision computing;instruction-set architecture (ISA);deep learning;machine learning;processor architecture;subword parallel,IEEE
Multiple Master-Slave FPGA Architecture of a Stereo Visual Odometry,C. -H. Chien; C. -C. J. Hsu; C. -J. Chien,IEEE Access,2021,9,,103266,103278,,10.1109/ACCESS.2021.3098856,Master-slave hardware architecture;visual odometry;FPGA;SIFT;Avalon bus,IEEE
Thai Spelling Correction and Word Normalization on Social Text Using a Two-Stage Pipeline With Neural Contextual Attention,A. Lertpiya; T. Chalothorn; E. Chuangsuwanich,IEEE Access,2020,8,,133403,133419,,10.1109/ACCESS.2020.3010828,Natural language processing;machine learning;artificial neural networks;text generation;spelling correction;text normalization;Thai language,IEEE
Revealing Preference in Popular Music Through Familiarity and Brain Response,S. Sangnark; P. Autthasan; P. Ponglertnapakorn; P. Chalekarn; T. Sudhawiyangkul; M. Trakulruangroj; S. Songsermsawad; R. Assabumrungrat; S. Amplod; K. Ounjai; T. Wilaiprasitporn,IEEE Sensors Journal,2021,21,13,14931,14940,,10.1109/JSEN.2021.3073040,Music preference;EEG;emotion recognition;affective computing;music listening,IEEE
A Multi-Site NFV Testbed for Experimentation With SUAV-Based 5G Vertical Services,I. Vidal; B. Nogales; F. Valera; L. F. Gonzalez; V. Sanchez-Aguero; E. Jacob; C. Cervelló-Pastor,IEEE Access,2020,8,,111522,111535,,10.1109/ACCESS.2020.3001985,Network functions virtualization (NFV);open source MANO (OSM);small unmanned aerial vehicles (SUAV);test facilities;vertical services,IEEE
Development of Generic Superconducting Components Library in MATLAB/Simulink for Thermal-Hydraulic Analyses,S. Yang; J. C. Ordonez,IEEE Transactions on Applied Superconductivity,2021,31,5,1,5,,10.1109/TASC.2021.3069711,HTS cable;MATLAB/ simulink;thermal-hydraulic;YBCO,IEEE
Chordal Graphs and Partial Positive Passivity Assessment,L. P. R. K. Ihlenfeld; G. H. C. Oliveira,IEEE Transactions on Power Delivery,2021,36,2,814,821,,10.1109/TPWRD.2020.2994063,Rational models;passivity assessment;graph theory;interlacing properties;partial positive systems,IEEE
The Ossanna’s Theorem for Educational Purposes: Impact of Distributed Parameter Transmission Lines on Power Systems,R. Benato; S. D. Sessa,IEEE Access,2021,9,,10577,10585,,10.1109/ACCESS.2021.3049395,Ossanna’s theorem;power education;power losses;transmission lines;voltage drops,IEEE
Multimodal Data Value Chain (M-DVC): A Conceptual Tool to Support the Development of Multimodal Learning Analytics Solutions,S. K. Shankar; M. J. Rodríguez-Triana; A. Ruiz-Calleja; L. P. Prieto; P. Chejara; A. Martínez-Monés,IEEE Revista Iberoamericana de Tecnologias del Aprendizaje,2020,15,2,113,122,,10.1109/RITA.2020.2987887,Data Value Chain;Multimodal Learning Analytics;Usefulness;Evaluation;Stakeholder communication;Conceptual tools,IEEE
High-Performance COTS FPGA SoC for Parallel Hyperspectral Image Compression With CCSDS-123.0-B-1,A. Tsigkanos; N. Kranitis; D. Theodoropoulos; A. Paschalis,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,2020,28,11,2397,2409,,10.1109/TVLSI.2020.3020164,Consultative Committee for Space Data Systems (CCSDS);field-programmable gate array (FPGA);hyperspectral compression;on-board data processing;system-on-chip (SoC),IEEE
A Survey of the Main Security Issues and Solutions for the SDN Architecture,M. B. Jiménez; D. Fernández; J. E. Rivadeneira; L. Bellido; A. Cárdenas,IEEE Access,2021,9,,122016,122038,,10.1109/ACCESS.2021.3109564,SDN interfaces;SDN planes;SDN security;STRIDE,IEEE
Static and Dynamic Evaluation of Different Architectures for an Actual HVDC Link Project,E. M. Carlini; C. Vergine; B. Aluisio; C. Gadaleta; M. Migliori; M. Dicorato; M. Trovato; G. Forte,IEEE Transactions on Power Delivery,2020,35,6,2782,2790,,10.1109/TPWRD.2020.3029208,HVDC transmission;load flow analysis;dynamic stability;zonal market;critical contingencies,IEEE
SEARCH: An SDN-Enabled Approach for Vehicle Path-Planning,O. S. Oubbati; M. Atiquzzaman; P. Lorenz; A. Baz; H. Alhakami,IEEE Transactions on Vehicular Technology,2020,69,12,14523,14536,,10.1109/TVT.2020.3043306,5G;SDN;traffic management;VANET;path planning,IEEE
Convolutional Neural Network Based Classification of App Reviews,N. Aslam; W. Y. Ramay; K. Xia; N. Sarwar,IEEE Access,2020,8,,185619,185628,,10.1109/ACCESS.2020.3029634,Classification;convolutional neural network;machine learning;sentiment;user feedback;mobile app reviews,IEEE
(In-)Security of Cookies in HTTPS: Cookie Theft by Removing Cookie Flags,H. Kwon; H. Nam; S. Lee; C. Hahn; J. Hur,IEEE Transactions on Information Forensics and Security,2020,15,,1204,1215,,10.1109/TIFS.2019.2938416,Cookie theft attack;SSL/TLS;hypertext transfer protocol,IEEE
cuProCell: GPU-Accelerated Analysis of Cell Proliferation With Flow Cytometry Data,M. S. Nobile; E. Nisoli; T. Vlachou; S. Spolaor; P. Cazzaniga; G. Mauri; P. G. Pelicci; D. Besozzi,IEEE Journal of Biomedical and Health Informatics,2020,24,11,3173,3181,,10.1109/JBHI.2020.3005423,GPGPU computing;high-performance computing;ProCell;cell proliferation;stochastic simulation;parameter estimation;FST-PSO;acute myeloid leukemia,IEEE
Multiple Access in Cognitive Radio Networks: From Orthogonal and Non-Orthogonal to Rate-Splitting,S. Gamal; M. Rihan; S. Hussin; A. Zaghloul; A. A. Salem,IEEE Access,2021,9,,95569,95584,,10.1109/ACCESS.2021.3095142,Multiple access;SDMA;NOMA;RSMA;cognitive radio (CR);5G,IEEE
Spartan: A Sparsity-Adaptive Framework to Accelerate Deep Neural Network Training on GPUs,S. Dong; Y. Sun; N. B. Agostini; E. Karimi; D. Lowell; J. Zhou; J. Cano; J. L. Abellán; D. Kaeli,IEEE Transactions on Parallel and Distributed Systems,2021,32,10,2448,2463,,10.1109/TPDS.2021.3067825,DNN;sparsity;GPU,IEEE
Empowering 5G Mobile Devices With Network Softwarization,K. Nguyen; P. L. Nguyen; Z. Li; H. Sekiya,IEEE Transactions on Network and Service Management,2021,18,3,2492,2501,,10.1109/TNSM.2021.3094871,Network softwarization;5G device;SDN;virtualization;network-aware;flexibility,IEEE
Receiver Design and Time of Arrival Estimation for Opportunistic Localization With 5G Signals,K. Shamaei; Z. M. Kassas,IEEE Transactions on Wireless Communications,2021,20,7,4716,4731,,10.1109/TWC.2021.3061985,5G;signals of opportunity;navigation;positioning;localization,IEEE
Stellar intensity interferometry of Vega in photon counting mode,L. Zampieri; G. Naletto; A. Burtovoi; M. Fiori; C. Barbieri,Monthly Notices of the Royal Astronomical Society,2021,506,2,1585,1594,,10.1093/mnras/stab1387,instrumentation: interferometers;techniques: interferometric;stars: individual: α Lyr (Vega),OUP
